,AmazonReview,Response
21,started researching youtube videos reviews took chance ordered arrived today setup super easy immediately started asking questions play music play news discovered zen type apps go echo completely fell love almost like real personal assistant lifts spirits suggested new music actually liked built speaker isnt bad pric,Positive
22,amazon echo replace beautiful cat kouga bring stop empty feeling around house added picture cat instead echo since everyone already knows echo looks lik,Positive
23,would totally recommend buying product dont see negatives fact cant really ask followup questions like google assistant im sure theyll make happen,Positive
24,thanks letting r,Neutral
25,prime member first purchase echo gave mom want think needed haha purchased echo dot reasons wanted original echo thought near price tag steep price perfect wanted get something mom would open mind power technology need change ultimately want amazon fire tv monthly cable bill insanely high always resistant change wifi bedroom resolved purchased tp link av wi fi range extender powerline edition wifi extender purchased past could gave moms room secure wifi connection apparently using already existing phone lines know wifi room got echo way test wifi connection something cool easily connected echo tplink worked asked alexa basic questions laughed little leave returned next day walked music playing oldies goodies walked moms room singing emotional asked everything ok awe happy emotional alexa helped mom find songs blink eye mom heard since childhood demonstrated speed alexa found song played mindboggling mom also planning dinner august needed know day week would normally need leave room go main calender kitchen find date time asked alexa gave information like seconds lol tplink echo alexa given mom whole new level excitement bewilderment curiosity wonder scratched surface power echo echo dots way type future sure great gift give someone great pric,Positive
26,bought echo dot early christmas gift glad useful gadget theres wide variety things ask alexa answer tasks us eg alarmstimers calendar ordering weath,Positive
27,since one tasks wanted alexa us play music subscribed amazons unlimited music plan echo dot well worth low monthly fee able ask alexa play song album anytime without buy individu,Positive
28,?millions songs available one groovy gadget unlimited music plan,Positive
29,echo dot home listen music without external speakers far concerned internal speaker emits decent array sound robust sounding hooking surround system amplifier external speakers course sound lot better internal device speakers similar size dont like internal speaker utilize mm bluetooth speaker opt,Positive
30,say “alexa play top songs phil collins” thats exactli,Positive
31,keep mind ask alexa top songs soloist group may always favorite songs work around ask alexa play particular album contains songs prefer hear,Positive
32,screenshots show asked alexa play album vs top songs addition show see loggedin alexa app via chrome web brows,Positive
33,fyi asking alexa play album long title realized responds accurately ask part title view elton john michael jackson screenshots sure look said alexa vs whole album title label,Positive
34,mention ask alexa search product along telling us best options cost afterward asked wanted buy product said yes placed order us gave confirmation code settings voice purchasing recommend setting people cannot place orders without consent convenient us voice purchasing enabled unplugged night except alexa,Positive
35,skill use weather sky gives us detailed weather report use several times day,Positive
36,?at time review havent used smart home features didnt buy purpos,Positive
37,please note purchased echo dot listed price receive discount post review,Neutral
38,whether want weather latest sports scores help math problem alexa help house adding two simple subscription amazons music service stream almost music think simply asking alexa,Negative
39,perfect work meidong qq chocolate bluetooth speaker also recommend speak,Positive
40,meidong universal water resistance qqchocolate portable v wireless bluetooth speaker w dual driver builtin microphon,Neutral
41,use code less ghaqeyfi got somewhere els,Neutral
42,paranoid device echo dot always listening design supposed listen say name device alexa amazon echo choice enough times hear one another room say sorry understand question tell misunderstands prompts said werent pretty often,Neutral
43,good product support,Positive
44,good voice recognit,Positive
45,size doesnt stand like sore thumb room,Neutral
46,doesnt differentiate voices keep closer speaker sometimes get confused start picking words speaker commands given placement dot crucial good experi,Neutral
47,supports english german,Positive
48,competent answering general questions need activate skills expand functionality makes asking question less intuitive since need use commands like alexa ask wikipedia,Positive
49,smarthome devices named internal functions get confused times may require renaming smarthome devic,Negative
50,thanks taking time read review,Neutral
51,rerelease critically acclaimed device quite honestly grand slam although slightly smaller last years release device picks voice even better im talking litterally talking leaps bounds better say alexa hears even im downstairs even im blaring music thru harmon kardon onyx speaker found yelling last years echo dot approaching device wielding kitchen knife attempting get listen,Positive
52,ordering second device try multiroom voice recognition technology amazon claims instilled awesome feature one echo dot responds command multiple devices bassically dot closest awaits awake word alexa side note basic amazon music unlimited work one devices one time one want use one dot echo purchase multidevice plan httpswwwamazoncomgpdmusicpromotionsamazonmusicunlimit,Positive
53,main selling point device use exsisting bluetooth speakers play amazon playlist mild roaror use mm jack back connect home theater really give ear drums beating risk course amazon tap echo unfortunately devices flaws comes audio reproductionhence bluetooth mm jack connectivity device allow pickiest listeners appreciate music thru exsisting devices mention echo dot strong bluetooth signal devices placed within foot device issues connecting bluetooth speakers moved feet away worked perfectli,Negative
54,echo dot built speaker sound tinny definitely works light bedroom kitchen us,Positive
55,expecting whole lot however amazon seriously went beyond offer incredible device half cost last years model stated aboveit actually works better also confirm connectivity home smart devices works well tp link smart plug come home dark house say alexa turn lights downstairs lights spring act,Positive
56,negatives actual alexa app really gave fits setup samsung tablet spent good minutes never got setup correctly however alexa app galaxy phone found paired echo ease weird quirk also alexa still quirks unless phrase questions correctly still responds sorry didnt get,Positive
57,alexa still developing search engine hopes continue grow even users jump onto incredible amazon devicesprime music prime application hence device meets expect,Positive
58,another thing mention echo dot play itunes google play music companies releasing devices know push devices rather make compatible competing companies device amazon prime music great added benefit existing prime users device works well giving access free mus,Positive
59,unboxing setup show device works video youtube look new amazon echo dot nd gen release unboxing channel lmmproductions see incredible device act,Positive
60,continue update review spend time devic,Neutral
61,needs security anyone range things bluetooth connect start playing music speaking thing cell calls first times started hearing random voices living room bit weirded idea coming one day heard alexa announce bluetooth device connected opened app discovered numerous devices werent mine kicking attempted find kind security protocol keep unwanted connections soon discovered wasnt get randomly hear voices music start playing middle night anytime people apartments behind decide wanna screw around,Negative
62,things works pretty well functionality like particular nature commands takes little getting used time understands perfectli,Positive
63,amazon decides add shouldve nobrainer security feature cannot give thing good rating fact anyone woken middle night random person connecting device ridiculous fix,Neutral
64,amazon echo dot require user enter pairing mode connect device via bluetooth live apartment complex two neighbors connected echo dot without input part dot appears pairable bluetooth device times major security flaw considering devices connected network amazon account listening times keeping device unplugged flaw fix,Negative
65,decided bathroom need,Neutral
66,echo dot nd generation black,Neutral
67,could call songs news wet hands shaving etc didnt want get way found,Neutral
68,eboot solid metal wall mount stand holder stand bracket amazon allnew echo dot nd generation black,Positive
69,job perfectly pair,Positive
70,slimsocket easyoutletusbupgrade solved dual usb charging port,Neutral
71,,Neutral
72,ienza® short inch usb micro usb cable samsung galaxy android smartphones tablets kindle fire fire stick roku chromecast portable speakers power banks electronic devic,Positive
73,really enjoying wall always powered ready go matter im,Positive
74,whenever dot sits idle minutes loses connection give three commands waiting one time responds sorry echo dot lost connection actually tries reconnect finally accept command sometimes problem wifi signal ive tried two different routers ghz placed devices next dot report excellent signal work without issue placed dot three feet away router reset reconfigured dot nothing makes slightest bit difference dot actually something disconnects get start streaming music day long uninterrupted proving wifiinternet isnt issue dot app website diagnostic logs might assist meaningful troubleshoot,Negative
75,try googling echo dot nd generation constantly loses wifi connection article bbuyit says echo dot nd generation appeared constant connection loses wireless network issue appeared surfaced since day released lots customers issue hmm purchased nd gen dot days article written amazon sell batch dots defects never recalled patched believe lik,Negative
76,called amazon tech support realizing id already tried everything standard tech support checklist escalated level technician joke technician accent didnt recognize could barely understand didnt attempt troubleshooting merely encouraged buy replacement dot said reluctantly offered discount insultingly small told came back slightly larger discount along lot hoopla like really shouldnt im going trouble boss blah blah seriously felt like dealing disreputable used car salesman congratulations amazon negative opinion dot tech support ill looking elsewhere voice operated assist,Negative
77,think cutie quick answers really change older person,Neutral
78,died light use months computer says return,Negative
79,case amazon sucks would like talk actual amazon employee issu,Neutral
80,bought october one mother strokes home one home interest mainly streaming music work home thought would use office also bought harmon kardon speakers initially setting problems gave star review mainly hard wire device internet connection well lack music app alexa app difficulty getting alexa play songs amazon music librari,Negative
81,shortly review started issues device able stream music stopping middle songs able understand meand constantly losing connection called support fantastic ran series tests recommended open ports modem open ports reset modem problem persisted called internet provider came home installed new modem new fittingsstill echo stream music constantly flashing red saying lost connection pausing minutes middle song fire stick streams music non stop upstairs wifi connection multiple calls support resulted modem resetting faster internet new modem meanwhile every device home performing fantastic consider maybe faulty device bought another plugged thingcould play one song stopping losing connection started using phone stream music absolutely problems streaming music harmon kardon speakers highlight story sound absolutely amazing connected everything besides alexa dot honestly believe amount time energy spent trying trouble shoot device wanted basic thing simply stream music frustrated actually opened front door threw garbage outside exactly belongs would honestly recommend device anyone performs horr,Negative
82,say amazon support great try help time called exception one rep saying would call back never support great final call device today spoke manager offered refund device professional still honestly feel entire experience star experience infuriating thing alexa would fail would use yr old first gen samsung tablet whole family uses would stream music perfectly wifi connection maybe able hard wired connection would good device hard time connecting even feet modem tried absolutely everything get work became painfully obvious easiest solution throw garbage simply use devices already stream music voice control nice would much rather able listen entire song purchased total mother uses little bit works another thing one threw trash use control fire stick simple tasks try use stream music fail,Positive
83,love amazon alexa entertaining funny helpful many things tri,Positive
84,tell jok,Neutral
85,sing song,Neutral
86,think siri,Neutral
87,merry chrisma,Positive
88,old,Neutral
89,complaint sometimes hard connect wifi also takes couple minutes turn unplug,Negative
90,overall happy alexa,Positive
91,suggest dot version built speaker buy additional speaker dot less money,Neutral
92,theres already ton reviews amazon echo wanted say happy product,Positive
93,initially thought get regular larger speaker amazon echo living roomkitchen first floor level condo larger room bedrooms upstairs however echo dot went sale thought really good value expensive big brother good pass found echo dot perfectly sufficient first floor hard know sound loud enough alexa could hear parts room seeing retail store alexa echo dot problems hearing responding commands typically set volume setting volume level music loud enough us hear everywhere helps centrally located room farther feet away device speaking relatively normal voice volum,Positive
94,wife initial skeptic really surprised smart echo dot kid loves well thing con amazon echo skills learned still feels like infant stages many skills polished certainly several companies helped designed really good skills like capital one fitbit dominos theres still lot choose hope companies jump quickli,Positive
95,considering everything bucks great value easy way get introduced home automation voice recognition technology overall would highly recommend product,Positive
96,product comes small package everything comes box seen pictures attach,Neutral
97,gave echo dot one star stopped working months called customer service told unit warranty really loved dot working disappointed offered free replacement spent equipment would expect last much longer refused first offer customer service new one second offer ordered one going last months becomes rather expensive disappointed amazon didnt make right extremely happy amazon incid,Neutral
98,update couple hours posted review received call amazon told could replace device money would refunded totally impressed amazons customer service thank purchasing another echo dot lov,Positive
99,experience original amazon echo partly lead getting echo dot gen liked echo responsive could give news updates well play music echo dot came looked getting hesitant order wasnt sure kind use would get liked original echo didnt want buy lesser vers,Positive
100,dot gen released finally decided would give shot uses somewhat limited far based use things controlled beginning ongoing review,Negative
101,ive using echo dot weeks far really like feel isnt quite good responding original could due location room acoustics bedroom noises like television closer isnt bad means move next bed isolate sounds seems helped lot,Positive
102,didnt expect much speaker small device isnt dedicated speaker pleasantly surprised good speaker fairly loud generally clear volumes feel good enough music playback casual listening wouldnt use gettogethers end bought external bluetooth speakeranker premium wireless speaker great pairing improves music playback lot sound better overal,Positive
103,currently main uses dot music news timers alarms general questions even controlling televis,Neutral
104,music connected pandora fast simple get pandora radio station playing also easily turn volume connect phone music playback also tune radio features playlists favorite podcast,Positive
105,get news feed npr variety options get news even tech sites like engadget,Positive
106,use constantly alarms timers simple asking alexa set stop sometimes morning difficulty reading clock face ill ask alexa time great setting timers laundry cooking would great handsfree companion kitchen,Positive
107,recently found control samsung television currently conjunction logitech harmony hub turn thus control heard pairing logitech harmony hub well samsung smart things hub give control changing channel volume smart things hub seems like lot ask id really like see something like simplified understand cannot come alexas end would require support television manufacturers yes simple enough control tv remote actually turns convenient lot voice like setting sleep functions changing source turning tv limited kind cool,Positive
108,lot apps devices echo access id suggest researching kind smart home devices control apps access relevant dont smart bulbs sockets currently since getting echo started looking also seem good variety apps havent really delved enough use make suggestions recently download jeopardy game initially worked well become somewhat frustrating play due game hearing answer saying incorrect correct answer one gave beyond minor gripe everything else use far works great,Positive
109,think devices like echo improve lot time hope smart controllable functionality safely built devices without variety different hubs controls something still somewhat infancy echo capable lot works well going issues hiccups expected use pandora news alarms timer think could still recommend get lot works well device audio quality capable enough uses works well areas lot devices want control apps want use id suggest good bit research first make sure intend consist,Positive
110,echo dot far perfect doesnt always pick voice say correctly always limited apps devices regardless shortcomings surprisingly good device works far doesnt continuing grow every day reasonable price functionality give stars recommend anyone see usefulness l,Positive
111,idea nice misunderstandings struggle dot perform command tiresome makes device irritating rather something fun use forget trying play amazon prime music alexa never understand album names repeat five ten times trying different inflections time albums forces hilariously mispronounce responds partitas instance pronounced partitoss microphones become increasingly less sensitive probably design flaw dust collect inside upwardfacing sound holes even several speech recognition adjustments hasnt help,Negative
112,ultimately able play amazon music create playlists computer easy pronounce names import songs want listen playlist,Positive
113,decided worked well needed stylish makeover secured old radio box wooden box make speakers much vibrant box lets button,Positive
114,love alexa recently bought four one black friday three cyber monday pius mini plugs lovely able ask alexa turn downstairs lights dark mornings voilá done ask light light living room kitchen turning individually group,Positive
115,play sirius xm spotify via alexa,Neutral
116,four one gimpy one office repeat several times add things list echo dot asked play sirius xm music shuts couple minutes annoying strongest signal im thinking little lady doesnt buck ideas ill put bus shell taking trip back amazon replac,Neutral
117,update got call amazons quality controlproduct feedback staff today talk review get feedback good conversation look forward seeing provide ways optout alexas repeated sales pitches future potential improvements echo products update review improvements arr,Positive
118,love amazon echo got dot two alexa constantly harassing like salesman wont shut telling need buy family music plan listen multiple rooms love compact aspect product love alexa software general haaaaaaate alexa shut constantly asking family members want buy services amazon became irritating duchebag salesman want option turn sales offer alexa especially since sounds like kids easily accidentally agree purchase subscription services alexa constantly pitching us fine able play prime music one room time pete sake make easy force family listen incessant sales pitch give us option say done admire salesmanship youve stepped duchebaggery offline online sales ive generated millions saas services get youre duchebag,Positive
119,buyer beware bought echo nov bought dot shortly subscribed unlimited music service able play amazon music wanted either echoes different music streaming time added echo dots rooms wife listen different things different rooms house setup months would put music young kids slept listen something else kitchen talked well sudden august th lost ability stream one device unless stream using multiroom playback feature thought bug since happened day rolled multiroom playback turns bug made change purpose multiroom playback allows listen music stream multiple devices longer play music kids listen stuff order return functionality told must subscribe unlimited family plan well kicker must pay prime unlimited family music plan order use one echo time means paying extra year unlimited music plan total year use multiple echoes single home want one playing time different amazon stream could try use streaming services echo supports combination streams running devices get commercial free cost money oh don’t get started kids age even allowed use unlimited family music plan…great planning feature removal amazon shouldn’t lie kids age get w,Positive
120,never would bought echoes known would change way service works limiting product purchased complete ripoff i’ve never owned product major features removed instead added given warning compensation change bunch useless echoes house well completely useless reduced hockey puck looking alarms clocks timers i’m currently looking cost moving google home also significantly reducing spending amazon warn,Negative
121,got dot week big echo son gift set fine nothing eas fine anymore would respond initially always though playing music would respond wake word reset times nithing worked called amazon within minutes connected echos tech support time dot fixed reset factory settings tested darling little dot happy healthy call amazon issues matter setup wifi case something fix wonderful support wondrful device wish could call dot though name choose two alexas one household ? calling echo amazon aint gonna work please vote review lik,Positive
122,love new echo dot ordered two one livingroom one kitchen love small compact nice speak loud google questions may shuffle variety songs different artist alexa much response odd questions ask quite funny told grandfather much enjoyed ordered original fullsized one sound quality two big difference understanding exact thing choice larger echo echo dot would likely go largeroriginal version sound quality phenomenal although dot great sound original superb maybe put largeroriginal echo birthday list could always use another one bedroom,Positive
123,intrigued idea home automation dont want plunk wheelbarrow full cash try like idea accessing information internet simply speaking perhaps important would enjoy able speak even call friends andor relatives around country youre using hands something els,Positive
124,answered yes questions echo dot setup quick easy less two minutes youll running like youve entered future need know something ask aloud extremely helpful kitchen alexa many pints quart answer sudden curiosities watching television alexa old george clooney friends dot streaming pandora music youre playing cards instantly solve debates current artist alexa,Positive
125,thats tip iceberg get instant weather reports whenever like activate big sky skill reports extremely detailed find long take drive work alexa hows commute send voice messages anyone else echo wont worry auto correct garbling message theyll hear actual voice via echo device even ask echo call phone answer using phone rather dot ever climbed bed remember something important need morning need getting back bed make note alexa remind pay utility bill next morning sharp youll remind,Positive
126,dont stop youre living future enter world home automation purchase smart plug three tp link configure alexa app name whatever like name according control tired stubbing toe way light switch bed never standing lamp bedroom leave til covers comfy alexa turn bedroom lamp tahdah early morning still dark dot turn light end house walk hall turn bedroom light get much course smart light bulbs smart thermostats dozens th,Positive
127,youre like shortly get first dot youll see convenience one one master bedroom addition one living room end house microphones ndgen dots good reliably hear couple rooms away whisper youve got kids never come dinner bedrooms call put dot room intercom call whenever ne,Positive
128,long story short echo dot one best purchases could ever make inexpensive easy use brings much convenience youll say changed lif,Positive
129,echo dot stopped working within hours says cant connect wifi cant get reset every wifi device home continues work fine send back refund try another unit also echo dot device limited responses time alexa says dont answer echo dot alexa good weather reports listening music basic skills fun item frustrating times amazon alexa staff need refine technology devices hopefully nd echo dot works better otherwise report piece technology junk hop,Positive
130,ordered nd echo dotsame problem connect wifi order devices house function properly wifi junk worth frustr,Neutral
131,satellite radio trail subscription car expire looking nocost alternative ran across echo dot set house first got familiar put car linked wifi hotspot phone thing amazing integrated future vehicles provides totally handsfree voice controlled access basically every radio station podcast song existence piped cars stereo system addition music amazon gives access iheartradio tunein radio pandora many others commute traveling need car way power echo dot wifi hotspot auxiliary input jack stereo,Positive
132,given echo dot really designed car exactly plugandplay really difficult setup either car happens usb charging port aux input jack center console usb port powers echo dot car turned audio dot fed car stereo aux input vehicle doesnt wifi hotspot im using wifi hotspot android phone provide internet connection echo dot although totally necessary found auto wifi tethering app automatically turns phones wifi hotspot phone bluetooth connected car turns phones wifi hotspot longer bluetooth connected car one less thing getting car,Negative
133,echo dot takes seconds powerup get connected turn car works flawlessly long datainternet service youre driving echo dot seem little bit buffer built happen lose data service momentarily usually keeps playing without interruption also since dot presumably wasnt designed turned onoff playing music audio youre starting fresh time turn car example youre middle listening something turn car go store echo dot wont pick left turn car back works great commuting tofrom work traveling little annoying youre running errands making bunch stops close together mic echo dot works perfectly somehow manages hear commands even car stereo turned really loud connected car stereo mutes echo dots audio using navigation get call bluetooth connected phone one additional note planning use vehicle use phone wifi hotspot need second device configure echo dot probably going sound confusing really order change settings echo dot setupconfiguration mode broadcasts wifi signal connect device youre setup mode choose available wifi network echo dot connect phones wont allow wifi hotspot turned also connected wifi second device com,Positive
134,purchased echo dot holidays sale already pay amazon prime completely free im really pocket initially hoping find something would get newsmusic lost satellite radio trial ended turned much amount ondemand content musicnewssportsradio almost overwhelming also alexa assistant pretty cool answering questions playing games road im currently using home automation textcalling amazon shopping features car well every car probably technology integrated future happens echo dot great way dont mind connecting wires setting wifi hotspot would definitely recommend car house best ive spent anytime rec,Positive
135,husband bought echo dot christmas gift decided keep set different parts house simple set february couple months use one dots quit working able get set connect wifi since contacted amazon help quite awhile phone technician informed problem problem security setting wifi struggled understand would affect one dots contacted internet service provider anyway informed security channel set correctly essentially help still confused one dots never problems believe must defective time period returns already expired first experienced issue money piece equip,Negative
136,received one gift liked much bought nd,Positive
137,far im finding useful solve problems alreadi,Neutral
138,turning onoff nightlight bedroom total light blocking shades turn tiny light upon entry saving electricity larger leds overhead,Neutral
139,turning onoff living room lights bedroom door dont stumble eyes adjust,Negative
140,im going enable use smart house functions id upset hack,Negative
141,bonuses use didnt expect,Positive
142,music room contrary reviews ads suggesting need better speaker sound im finding echo dot adequate even large room provides background without overwhelming conversation meditation large av theater systems easily stream also get loud enough enjoy without bothering others house best alexa speaks louder softer next song dont like song ask amazon music stations name remote need,Positive
143,ability set alarm alexa set alarm foram works even dark without glasses forget regular alarm,Negative
144,good morning routine gives todays weather forecast today history news recaps cnn reuters many others wantall im taking care wakeup routin,Positive
145,white noise sounds imagine sound want theyre available sleep aids volume want voice controllable getting anyth,Neutral
146,update third one sent mend gen lots problems amazons end first didnt work minutes help line admitted hw problem going send another groan give st gen,Negative
147,third one also would connect uverse wifi st gen kitchen workes fine breeze set another minutes phone amazon finally connected wifi however put master bath would connect swapp working st gen kitchen finally work,Positive
148,thats really weird kitchen farther away walls dot router moving nd gen dot farther away actually made work im electrical engineer cant explain,Neutral
149,review amazon echo dot really disappointed setting volume horrible cant hear nothing amazon solution connect pair speaker well dont speaker use another issue fact want us pay able play music echo device already amazon music echo want able play music echo,Negative
150,ok home automation sure say im using half potential thing stands alone excellent audio accessory hooked marantz love laagie pack mm av rca audio adapter cable ipodmppc mm mini rca stereo audio cable pay month amazon music app yet stumped cool playlists channels play album want playing album bill withers right beats heck radio day,Positive
151,turn lights nothing already devices wall near doorways perform function touch considering getting couple outlets go next time go town random lights feature sounds us,Neutral
152,linked amazon fire dont see remot,Neutral
153,one star fact music centric device alarm function yet cant wake music r,Negative
154,really experience acquaintance aunt nearly blind loves ss band music tried several devices came upon echo handle loves see godsend disabled peopl,Positive
155,edit another days use drops wifi way much many times need repeat wifi setup process power cycling dot router doesnt help find repeat wifi setup scratch happens three secondgen dots dont firstgen dot,Negative
156,device home laptops macbooks desktops tvs xbox ps ps roku apple tv iphones android phones tablets even couple iot devices none troubles whatsoever staying connected wifi except dots google lots frustrated us,Negative
157,good lord amazon fix damn dot softwar,Neutral
158,,Neutral
159,fast stable home wifi network strong signal runs many devices issues whatsoev,Positive
160,first dot working well bought two second gen dots first new dots could hold wifi connections minutes tearing hair getting ready return,Positive
161,hunch rebooted router power cycled dots seem work pretty wel,Positive
162,touchy technolog,Negative
163,another subject calling dropin feature really needs refinement example cant find way tell amazons network wish receive calls alexa app iphon,Positive
164,echo used intended purposes recently purchased two echo dots set dedicated path master br babys room using drop feature create baby monitor setting usual applying proper names making sure drop last step test long actual drop feature would keep connection alive two dots writing ive confirmed stay connected drop longer hour,Positive
165,say alexa drop babys room mute mic master br side go sleep perfect solution long baby longer needs baby monitor dots able repurposed standard warning idea commands used echo dot still maintaining drop connection muting master br mic important making sure alexa wasnt accidentally triggered end connection also means baby doesnt get awoken doorsetc master br side connect,Positive
166,voice recognition good expected sensitivity commands seems vary often receive incorrect results repeat commands iheart radio tunein stations drop connections frequently customer service quick respond admit software issue suggested reset resolve problem would recommend purchase software refin,Negative
167,update juli,Neutral
168,used thing months never got better drops connection feet router wmb cable dropouts hickcups streaming radio attempted voice training improvement today would connect server hour triby connected ok issue wifi dot hardware software problems addressed amazon day warranty long,Negative
169,update juli,Neutral
170,frequency dropouts disconnects continues increase reconfirmed dot malfunction triby plays streams dot experiencing dropout,Negative
171,thing work things fall apart use pandora lot consistent way get alexa product play pandora station forget tricks say months able play anything last station picked way choose station app work basically able play single station pandora uses alexa device sure failing obvious earth would even think exploring uses know fact even work first fail later junk softwar,Neutral
172,christmas gift member family generally use siri iphone macintosh computers concept new dont like echo dot several reasons ask siri play music looks music collection plays ask alexa play music tries sell subscription service useful things dot claims useful involve spending money amazoncom appliance selling machine also inconvenient plugged somewhere used get benefits siri phone without plug wall use also tired emails regarding stuff able wanted know far canberra many books library congress still plugged havent spoken one another several weeks would like back,Positive
173,ive echo dot google home mini several days comparing side side isnt comprehensive review thoughts based upon short experi,Positive
174,first one get dot cheap decided give try read comments elsewhere google home mini knew nothing preferred mini sale bb figured id try ive since read watched number comparisons mostly favor google home mini alexa based upon experience dont get wonder im missing something fairest appraisal pluses minuses definitely lean towards dot,Positive
175,lets compare decid,Neutral
176,form,Neutral
177,dots appearance clean simple form follows function design think looks great caught eye first released aesthetic opinion however functional aspect isnt opinion excellent design buttons top volume action mute one concern devices many may always listening dot simple tap mute microphone illuminates red ring similar speaker phone works conference room volume buttons need explanation action button useful theres loud noise music dont want shout get dots attention press button speak,Positive
178,mini looks like fabric covered pie mushroom opinion okay im quick follow fashions many reviewers prefer look maybe ill catch functionally poor design working action button mute switch back power connector try mute invariably touch speaker volume buttons hidden fabric sides fact hard pick without touching buttons muted led lights glow reddish fabr,Positive
179,sound,Neutral
180,dot seems clearer brighter spoken word easier understand mini sounds muffled get much louder many reviewers favored mini consider draw clearer less loud louder less clear however big deal dot auxiliary connect external speaker someone plan gift dot sound bar auxiliary input work great also dot connect external speaker using bluetooth interestingly dot also bluetooth receiver example connect fire stick dot though bluetooth dot also connected external speaker dont think bluetooth going ways transmitter receiver time havent tri,Positive
181,mini doesnt auxiliary output act bluetooth receiver ive read get sound go externally one would need mini transmit chromecast device connected external speakers many reviewers seem think great honestly dont get,Positive
182,music im prime member get lots free music videos dot works great w prime music also use spotify pandora prime plenty dont subscribe google play mini wouldnt play individual tracks ive asked instead plays station mix device better depends service one us,Positive
183,radio tune radio stations great feature ask alexa tune radio host found station asked mini said unable worked asking tune stations call sign frequ,Positive
184,reminders asked alexa remind dentist appointment later correctly announced appointment mini doesnt announce appointments show notification android phone thats suppose google fix future basically reminders dont work properli,Positive
185,ai answering questions mini using googles search seems better perhaps im certain ill accept others opinions processes language naturally however alexa work well behind doesnt seem far experience plus dot many skills alexa example say alexa play rain sound,Positive
186,tv integration reviews impression dot couldnt control fire tv stick easy link dot fire tv stick say alexa show comedies find ben hur play man high castle open netflix start remote still needed actions finalize selection mini integrates chromecast dont one experience work w respective video devices cant compare beyond,Positive
187,summarize prefer dot mini far generous appraisal pluses minuses wonder many reviewers favoring google home alexa though best guess google android ecosystem fans im missing something case family friends prime account esp apple devces id go w dot wout prime accounts use android devices esp subscribe google services id recommend mini middle get theyre cheap enough compar,Positive
